depth	# bases at depth	size of A	% of A at depth
766	1268	46584178	0.0000272
767	1152	46584178	0.0000247
768	1223	46584178	0.0000263
769	1123	46584178	0.0000241
770	1182	46584178	0.0000254
771	1234	46584178	0.0000265
772	1179	46584178	0.0000253
773	1189	46584178	0.0000255
774	1278	46584178	0.0000274
775	1204	46584178	0.0000258
776	1177	46584178	0.0000253
777	1173	46584178	0.0000252
778	1193	46584178	0.0000256
779	1223	46584178	0.0000263
780	1119	46584178	0.0000240
781	1204	46584178	0.0000258
782	1162	46584178	0.0000249
783	1133	46584178	0.0000243
784	1188	46584178	0.0000255
785	1232	46584178	0.0000264
786	1290	46584178	0.0000277
787	1188	46584178	0.0000255
788	1201	46584178	0.0000258
789	1147	46584178	0.0000246
790	1132	46584178	0.0000243
791	1151	46584178	0.0000247
792	1204	46584178	0.0000258
793	1145	46584178	0.0000246
794	1093	46584178	0.0000235
795	1125	46584178	0.0000241
796	1122	46584178	0.0000241
797	1029	46584178	0.0000221
798	1044	46584178	0.0000224
799	1100	46584178	0.0000236
800	1120	46584178	0.0000240
801	1066	46584178	0.0000229
802	1087	46584178	0.0000233
803	1072	46584178	0.0000230
804	997	46584178	0.0000214
805	1081	46584178	0.0000232
806	1038	46584178	0.0000223
807	1096	46584178	0.0000235
808	1082	46584178	0.0000232
809	1082	46584178	0.0000232
810	996	46584178	0.0000214
811	989	46584178	0.0000212
812	1014	46584178	0.0000218
813	1074	46584178	0.0000231
814	1004	46584178	0.0000216
815	1044	46584178	0.0000224
816	986	46584178	0.0000212
817	1034	46584178	0.0000222
818	983	46584178	0.0000211
819	976	46584178	0.0000210
820	1004	46584178	0.0000216
821	964	46584178	0.0000207
822	1014	46584178	0.0000218
823	1024	46584178	0.0000220
824	1013	46584178	0.0000217
825	941	46584178	0.0000202
826	1038	46584178	0.0000223
827	963	46584178	0.0000207
828	951	46584178	0.0000204
829	921	46584178	0.0000198
830	1023	46584178	0.0000220
831	987	46584178	0.0000212
832	1039	46584178	0.0000223
833	991	46584178	0.0000213
834	978	46584178	0.0000210
835	989	46584178	0.0000212
836	965	46584178	0.0000207
837	949	46584178	0.0000204
838	930	46584178	0.0000200
839	968	46584178	0.0000208
840	946	46584178	0.0000203
841	958	46584178	0.0000206
842	930	46584178	0.0000200
843	984	46584178	0.0000211
844	907	46584178	0.0000195
845	931	46584178	0.0000200
846	1025	46584178	0.0000220
847	894	46584178	0.0000192
848	924	46584178	0.0000198
849	897	46584178	0.0000193
850	935	46584178	0.0000201
851	919	46584178	0.0000197
852	833	46584178	0.0000179
853	906	46584178	0.0000194
854	896	46584178	0.0000192
855	864	46584178	0.0000185
856	912	46584178	0.0000196
857	805	46584178	0.0000173
858	914	46584178	0.0000196
859	952	46584178	0.0000204
860	923	46584178	0.0000198
861	908	46584178	0.0000195
862	887	46584178	0.0000190
863	879	46584178	0.0000189
864	850	46584178	0.0000182
865	921	46584178	0.0000198
866	875	46584178	0.0000188
867	821	46584178	0.0000176
868	816	46584178	0.0000175
869	799	46584178	0.0000172
870	833	46584178	0.0000179
871	855	46584178	0.0000184
872	807	46584178	0.0000173
873	875	46584178	0.0000188
874	835	46584178	0.0000179
875	858	46584178	0.0000184
876	890	46584178	0.0000191
877	791	46584178	0.0000170
878	800	46584178	0.0000172
879	778	46584178	0.0000167
880	824	46584178	0.0000177
881	808	46584178	0.0000173
882	754	46584178	0.0000162
883	861	46584178	0.0000185
884	757	46584178	0.0000163
885	835	46584178	0.0000179
886	789	46584178	0.0000169
887	756	46584178	0.0000162
888	772	46584178	0.0000166
889	766	46584178	0.0000164
890	736	46584178	0.0000158
891	752	46584178	0.0000161
892	767	46584178	0.0000165
893	750	46584178	0.0000161
894	730	46584178	0.0000157
895	715	46584178	0.0000153
896	725	46584178	0.0000156
897	741	46584178	0.0000159
898	689	46584178	0.0000148
899	664	46584178	0.0000143
900	771	46584178	0.0000166
901	744	46584178	0.0000160
902	686	46584178	0.0000147
903	726	46584178	0.0000156
904	718	46584178	0.0000154
905	748	46584178	0.0000161
906	685	46584178	0.0000147
907	713	46584178	0.0000153
908	685	46584178	0.0000147
909	626	46584178	0.0000134
910	710	46584178	0.0000152
911	689	46584178	0.0000148
912	729	46584178	0.0000156
913	640	46584178	0.0000137
914	696	46584178	0.0000149
915	720	46584178	0.0000155
916	688	46584178	0.0000148
917	697	46584178	0.0000150
918	753	46584178	0.0000162
919	693	46584178	0.0000149
920	632	46584178	0.0000136
921	692	46584178	0.0000149
922	683	46584178	0.0000147
923	692	46584178	0.0000149
924	650	46584178	0.0000140
925	653	46584178	0.0000140
926	634	46584178	0.0000136
927	679	46584178	0.0000146
928	655	46584178	0.0000141
929	597	46584178	0.0000128
930	672	46584178	0.0000144
931	626	46584178	0.0000134
932	673	46584178	0.0000144
933	624	46584178	0.0000134
934	626	46584178	0.0000134
935	582	46584178	0.0000125
