depth	# bases at depth	size of A	% of A at depth
282	33737	3137161264	0.0000108
283	33008	3137161264	0.0000105
284	33107	3137161264	0.0000106
285	32918	3137161264	0.0000105
286	32428	3137161264	0.0000103
287	32398	3137161264	0.0000103
288	32286	3137161264	0.0000103
289	31812	3137161264	0.0000101
290	31731	3137161264	0.0000101
291	31150	3137161264	0.0000099
292	31448	3137161264	0.0000100
293	30601	3137161264	0.0000098
294	30836	3137161264	0.0000098
295	29897	3137161264	0.0000095
296	30143	3137161264	0.0000096
297	29915	3137161264	0.0000095
298	29904	3137161264	0.0000095
299	29201	3137161264	0.0000093
300	29232	3137161264	0.0000093
301	28591	3137161264	0.0000091
302	28891	3137161264	0.0000092
303	28813	3137161264	0.0000092
304	28842	3137161264	0.0000092
305	28017	3137161264	0.0000089
306	27509	3137161264	0.0000088
307	27512	3137161264	0.0000088
308	26989	3137161264	0.0000086
309	27035	3137161264	0.0000086
310	27017	3137161264	0.0000086
311	26906	3137161264	0.0000086
312	26562	3137161264	0.0000085
313	26327	3137161264	0.0000084
314	25795	3137161264	0.0000082
315	26230	3137161264	0.0000084
316	26037	3137161264	0.0000083
317	25594	3137161264	0.0000082
318	25827	3137161264	0.0000082
319	25073	3137161264	0.0000080
320	24841	3137161264	0.0000079
321	24701	3137161264	0.0000079
322	24574	3137161264	0.0000078
323	24153	3137161264	0.0000077
324	24206	3137161264	0.0000077
325	23711	3137161264	0.0000076
326	24329	3137161264	0.0000078
327	23823	3137161264	0.0000076
328	23999	3137161264	0.0000076
329	23534	3137161264	0.0000075
330	23322	3137161264	0.0000074
331	23021	3137161264	0.0000073
332	22882	3137161264	0.0000073
333	23020	3137161264	0.0000073
334	22473	3137161264	0.0000072
335	22506	3137161264	0.0000072
336	22347	3137161264	0.0000071
337	22321	3137161264	0.0000071
338	22098	3137161264	0.0000070
339	21969	3137161264	0.0000070
340	22127	3137161264	0.0000071
341	21385	3137161264	0.0000068
342	21367	3137161264	0.0000068
343	21068	3137161264	0.0000067
344	21081	3137161264	0.0000067
345	20708	3137161264	0.0000066
346	20783	3137161264	0.0000066
347	20386	3137161264	0.0000065
348	20456	3137161264	0.0000065
349	20523	3137161264	0.0000065
350	19977	3137161264	0.0000064
351	19951	3137161264	0.0000064
352	19754	3137161264	0.0000063
353	19358	3137161264	0.0000062
354	19410	3137161264	0.0000062
355	19424	3137161264	0.0000062
356	19065	3137161264	0.0000061
357	18805	3137161264	0.0000060
358	18977	3137161264	0.0000060
359	18668	3137161264	0.0000060
360	18452	3137161264	0.0000059
361	18411	3137161264	0.0000059
362	18376	3137161264	0.0000059
363	18118	3137161264	0.0000058
364	17841	3137161264	0.0000057
365	18079	3137161264	0.0000058
366	17202	3137161264	0.0000055
367	17746	3137161264	0.0000057
368	17595	3137161264	0.0000056
369	17526	3137161264	0.0000056
370	16929	3137161264	0.0000054
371	16928	3137161264	0.0000054
372	16671	3137161264	0.0000053
373	16767	3137161264	0.0000053
374	16088	3137161264	0.0000051
375	16611	3137161264	0.0000053
376	16411	3137161264	0.0000052
377	16209	3137161264	0.0000052
378	16226	3137161264	0.0000052
379	15793	3137161264	0.0000050
380	15845	3137161264	0.0000051
381	15936	3137161264	0.0000051
382	15518	3137161264	0.0000049
