Pattern	K562_Banaszak	K562_Belaghzal	K562_Dixon	K562_Moquin	K562_Rao	K562_Ray	K562_Wang	K562_Zhou	Count	AND_Count	Libs
00100110	0	0	1	0	0	1	1	0	88	1233826	3
10100100	1	0	1	0	0	1	0	0	84	160507	3
10000101	1	0	0	0	0	1	0	1	82	160134	3
01000110	0	1	0	0	0	1	1	0	77	717379	3
01000101	0	1	0	0	0	1	0	1	73	908984	3
10100010	1	0	1	0	0	0	1	0	68	195399	3
01100010	0	1	1	0	0	0	1	0	66	871240	3
01001010	0	1	0	0	1	0	1	0	65	871234	3
01100100	0	1	1	0	0	1	0	0	58	908403	3
10010010	1	0	0	1	0	0	1	0	51	147755	3
10010100	1	0	0	1	0	1	0	0	43	140619	3
10001100	1	0	0	0	1	1	0	0	41	160228	3
10001010	1	0	0	0	1	0	1	0	32	187964	3
11010000	1	1	0	1	0	0	0	0	20	123491	3
11000100	1	1	0	0	0	1	0	0	14	101462	3
10000110	1	0	0	0	0	1	1	0	10	121454	3
11000010	1	1	0	0	0	0	1	0	6	98479	3
00100001	0	0	1	0	0	0	0	1	302129	4177008	2
00101000	0	0	1	0	1	0	0	0	96728	3825333	2
00001001	0	0	0	0	1	0	0	1	30738	3750871	2
00011000	0	0	0	1	1	0	0	0	7425	2261817	2
10100000	1	0	1	0	0	0	0	0	6100	357101	2
00000011	0	0	0	0	0	0	1	1	4183	2158434	2
00001100	0	0	0	0	1	1	0	0	3868	1681383	2
00110000	0	0	1	1	0	0	0	0	3761	2265371	2
00010001	0	0	0	1	0	0	0	1	3568	2261944	2
10000001	1	0	0	0	0	0	0	1	2965	348403	2
01001000	0	1	0	0	1	0	0	0	2458	1357789	2
01100000	0	1	1	0	0	0	0	0	2287	1358881	2
00010100	0	0	0	1	0	1	0	0	2047	1430248	2
00010010	0	0	0	1	0	0	1	0	1798	1516106	2
00100010	0	0	1	0	0	0	1	0	1558	2148884	2
00100100	0	0	1	0	0	1	0	0	1525	1680059	2
01000001	0	1	0	0	0	0	0	1	1447	1355366	2
10001000	1	0	0	0	1	0	0	0	1443	334697	2
00001010	0	0	0	0	1	0	1	0	1182	2009189	2
00000110	0	0	0	0	0	1	1	0	1087	1239457	2
00000101	0	0	0	0	0	1	0	1	1082	1680038	2
01010000	0	1	0	1	0	0	0	0	726	1073907	2
10010000	1	0	0	1	0	0	0	0	340	219644	2
01000010	0	1	0	0	0	0	1	0	273	873742	2
01000100	0	1	0	0	0	1	0	0	265	911269	2
10000010	1	0	0	0	0	0	1	0	232	196699	2
11000000	1	1	0	0	0	0	0	0	180	153110	2
10000100	1	0	0	0	0	1	0	0	127	161529	2
00100000	0	0	1	0	0	0	0	0	327184	4649012	1
00001000	0	0	0	0	1	0	0	0	320508	4218233	1
00000001	0	0	0	0	0	0	0	1	166451	4412455	1
00000100	0	0	0	0	0	1	0	0	89624	1789324	1
00010000	0	0	0	1	0	0	0	0	67678	2365361	1
10000000	1	0	0	0	0	0	0	0	41830	408008	1
00000010	0	0	0	0	0	0	1	0	37578	2207451	1
01000000	0	1	0	0	0	0	0	0	27365	1399457	1
